id,name,link,date_of_birth,height,weight,spike,block,age
0,Stephanie Fotso Mogoung,/en/competition/teams/cmr-cameroon/players/stephanie-fotso-mogoung?id=68803,25/09/1987,187,78,301,275,33
1,Christelle Tchoudjang Nana,/en/competition/teams/cmr-cameroon/players/christelle-tchoudjang-nana?id=68809,07/07/1989,184,80,308,285,31
2,Théorine Christelle Aboa Mbeza,/en/competition/teams/cmr-cameroon/players/th%c3%a9orine-christelle-aboa-mbeza?id=68795,25/08/1992,182,78,294,275,28
3,Laetitia Crescence Moma Bassoko,/en/competition/teams/cmr-cameroon/players/laetitia-crescence-moma-bassoko?id=68807,09/10/1993,184,81,301,281,27
4,Henriette Nadege Koulla,/en/competition/teams/cmr-cameroon/players/henriette-nadege-koulla?id=68804,14/09/1992,171,67,280,264,28
5,Bodo Essissima Madeleine Samantha,/en/competition/teams/cmr-cameroon/players/bodo-essissima-madeleine-samantha?id=68806,29/04/1992,182,75,296,275,28
6,Honorine Djakao Gamkoua,/en/competition/teams/cmr-cameroon/players/honorine-djakao-gamkoua?id=68801,27/02/1992,172,65,280,270,28
7,Berthrade Simone Flore Bikatal,/en/competition/teams/cmr-cameroon/players/berthrade-simone-flore-bikatal?id=68799,23/07/1992,183,76,297,253,28
8,Victoire Pauline L'or Ngon Ntame,/en/competition/teams/cmr-cameroon/players/victoire-pauline-l%27or-ngon-ntame?id=68810,31/12/1985,177,79,288,253,35
9,Abdoulkarim Fawziya,/en/competition/teams/cmr-cameroon/players/abdoulkarim-fawziya?id=68802,01/03/1989,180,67,292,275,31
10,Yolande Juliana Amana Guigolo,/en/competition/teams/cmr-cameroon/players/yolande-juliana-amana-guigolo?id=68797,15/09/1997,184,78,292,275,23
11,Ezssi Emelda Piata,/en/competition/teams/cmr-cameroon/players/ezssi-emelda-piata?id=68808,08/04/1997,190,65,295,281,23
12,Estelle Adiana,/en/competition/teams/cmr-cameroon/players/estelle-adiana?id=68811,14/05/1997,182,85,285,256,23
13,Dorianne Leumi Ndjiki,/en/competition/teams/cmr-cameroon/players/dorianne-leumi-ndjiki?id=68805,07/08/1995,184,74,275,220,25
14,Odette Ahirnidi Menkred,/en/competition/teams/cmr-cameroon/players/odette-ahirnidi-menkred?id=68796,05/11/1999,174,68,270,250,21
15,Reine Ngameni Mbopda Davina,/en/competition/teams/cmr-cameroon/players/reine-ngameni-mbopda-davina?id=68800,14/11/2002,168,65,250,240,18
