id,name,link,date_of_birth,height,weight,spike,block,age
0,Tanya Acosta,/en/volleyball/women/teams/arg-argentina/players/tanya-acosta?id=53220,11/03/1991,182,70,287,280,29
1,Paula Yamila Nizetich,/en/volleyball/women/teams/arg-argentina/players/paula-yamila-nizetich?id=53233,27/01/1989,181,74,305,295,31
2,Lucia Fresco,/en/volleyball/women/teams/arg-argentina/players/lucia-fresco?id=53229,14/05/1991,195,92,304,290,29
3,Clarisa Sagardia,/en/volleyball/women/teams/arg-argentina/players/clarisa-sagardia?id=53236,29/06/1989,174,67,290,280,31
4,Emilce Sosa,/en/volleyball/women/teams/arg-argentina/players/emilce-sosa?id=53238,11/09/1987,177,72,305,295,33
5,Julieta Constanza Lazcano,/en/volleyball/women/teams/arg-argentina/players/julieta-constanza-lazcano?id=53231,25/07/1989,190,76,312,293,31
6,Tatiana Soledad Rizzo,/en/volleyball/women/teams/arg-argentina/players/tatiana-soledad-rizzo?id=53235,30/12/1986,178,64,280,268,34
7,Leticia Boscacci,/en/volleyball/women/teams/arg-argentina/players/leticia-boscacci?id=53222,08/11/1985,186,70,302,284,35
8,Josefina Fernandez,/en/volleyball/women/teams/arg-argentina/players/josefina-fernandez?id=53227,17/08/1991,180,69,300,296,29
9,Florencia Natasha Busquets Reyes,/en/volleyball/women/teams/arg-argentina/players/florencia-natasha-busquets-reyes?id=53223,27/06/1989,192,68,305,290,31
10,Yael Castiglione,/en/volleyball/women/teams/arg-argentina/players/yael-castiglione?id=53225,27/09/1985,184,75,295,281,35
11,Morena Martinez Franchi,/en/volleyball/women/teams/arg-argentina/players/morena-martinez-franchi?id=53232,19/02/1993,164,62,285,264,27
12,Fabiana Claudino,/en/volleyball/women/teams/bra-brazil/players/fabiana-claudino?id=53573,24/01/1985,193,76,314,293,35
13,Juciely Cristina Barreto,/en/volleyball/women/teams/bra-brazil/players/juciely-cristina-barreto?id=53569,18/12/1980,184,71,312,289,40
14,Danielle Lins,/en/volleyball/women/teams/bra-brazil/players/danielle-lins?id=53580,05/01/1985,181,68,290,276,35
15,Adenizia Da Silva,/en/volleyball/women/teams/bra-brazil/players/adenizia-da-silva?id=53576,18/12/1986,185,63,312,290,34
16,Thaisa Daher De Menezes,/en/volleyball/women/teams/bra-brazil/players/thaisa-daher-de-menezes?id=53581,15/05/1987,196,79,316,301,33
17,Jaqueline Pereira De Carvalho Endres,/en/volleyball/women/teams/bra-brazil/players/jaqueline-pereira-de-carvalho-endres?id=53584,31/12/1983,186,70,302,286,37
18,Gabriela Braga Guimaraes,/en/volleyball/women/teams/bra-brazil/players/gabriela-braga-guimaraes?id=53578,19/05/1994,180,65,305,289,26
19,Natalia Pereira,/en/volleyball/women/teams/bra-brazil/players/natalia-pereira?id=53583,04/04/1989,186,83,311,295,31
20,Sheilla Castro De Paula Blassioli,/en/volleyball/women/teams/bra-brazil/players/sheilla-castro-de-paula-blassioli?id=53572,01/07/1983,185,65,302,284,37
21,Fernanda Rodrigues,/en/volleyball/women/teams/bra-brazil/players/fernanda-rodrigues?id=53587,10/05/1986,179,74,308,288,34
22,Josefa Fabiola Almeida De Sousa Alves,/en/volleyball/women/teams/bra-brazil/players/josefa-fabiola-almeida-de-sousa-alves?id=53568,03/02/1983,184,70,300,285,37
23,Leia Henrique Da Silva Nicolosi,/en/volleyball/women/teams/bra-brazil/players/leia-henrique-da-silva-nicolosi?id=53588,01/03/1985,160,60,275,269,35
24,Alisha Glass,/en/volleyball/women/teams/usa-usa/players/alisha-glass?id=53288,05/04/1988,184,72,305,300,32
25,Kayla Banwarth,/en/volleyball/women/teams/usa-usa/players/kayla-banwarth?id=53282,21/01/1989,178,75,295,283,31
26,Courtney Thompson,/en/volleyball/women/teams/usa-usa/players/courtney-thompson?id=53298,04/11/1984,170,66,276,263,36
27,Rachael Adams,/en/volleyball/women/teams/usa-usa/players/rachael-adams?id=53280,03/06/1990,188,79,318,307,30
28,Carli Lloyd,/en/volleyball/women/teams/usa-usa/players/carli-lloyd?id=53293,06/08/1989,180,75,313,295,31
29,Jordan Larson,/en/volleyball/women/teams/usa-usa/players/jordan-larson?id=53292,16/10/1986,188,75,302,295,34
30,Kelly Murphy,/en/volleyball/women/teams/usa-usa/players/kelly-murphy?id=53295,20/10/1989,188,79,315,307,31
31,Christa Harmotto Dietzen,/en/volleyball/women/teams/usa-usa/players/christa-harmotto-dietzen?id=53285,12/10/1986,188,79,322,300,34
32,Kimberly Hill,/en/volleyball/women/teams/usa-usa/players/kimberly-hill?id=53290,30/11/1989,193,72,320,310,31
33,Foluke Akinradewo,/en/volleyball/women/teams/usa-usa/players/foluke-akinradewo?id=53281,05/10/1987,191,79,331,300,33
34,Kelsey Robinson,/en/volleyball/women/teams/usa-usa/players/kelsey-robinson?id=53297,25/06/1992,188,73,307,298,28
35,Karsta Lowe,/en/volleyball/women/teams/usa-usa/players/karsta-lowe?id=53294,02/02/1993,194,75,315,305,27
36,Xinyue Yuan,/en/volleyball/women/teams/chn-china/players/xinyue-yuan?id=53214,21/12/1996,201,78,317,311,24
37,Ting Zhu,/en/volleyball/women/teams/chn-china/players/ting-zhu?id=53219,29/11/1994,198,78,327,300,26
38,Fangxu Yang,/en/volleyball/women/teams/chn-china/players/fangxu-yang?id=53213,06/10/1994,190,82,308,300,26
39,Xiangyu Gong,/en/volleyball/women/teams/chn-china/players/xiangyu-gong?id=53202,21/04/1997,186,72,313,302,23
40,Qiuyue Wei,/en/volleyball/women/teams/chn-china/players/qiuyue-wei?id=53210,26/09/1988,182,65,305,300,32
41,Changning Zhang,/en/volleyball/women/teams/chn-china/players/changning-zhang?id=53216,06/11/1995,193,80,315,303,25
42,Xiaotong Liu,/en/volleyball/women/teams/chn-china/players/xiaotong-liu?id=53205,16/02/1990,188,80,312,300,30
43,Yunli Xu,/en/volleyball/women/teams/chn-china/players/yunli-xu?id=53211,02/08/1987,195,75,325,306,33
44,Ruoqi Hui,/en/volleyball/women/teams/chn-china/players/ruoqi-hui?id=53203,04/03/1991,192,78,315,305,29
45,Li Lin,/en/volleyball/women/teams/chn-china/players/li-lin?id=53204,05/07/1992,171,65,294,294,28
46,Xia Ding,/en/volleyball/women/teams/chn-china/players/xia-ding?id=53201,13/01/1990,180,67,305,300,30
47,Ni Yan,/en/volleyball/women/teams/chn-china/players/ni-yan?id=53212,02/03/1987,192,74,317,306,33
48,Bianka Busa,/en/volleyball/women/teams/srb-serbia/players/bianka-busa?id=53414,25/07/1994,187,74,312,298,26
49,Jovana Brakocevic,/en/volleyball/women/teams/srb-serbia/players/jovana-brakocevic?id=53432,05/03/1988,196,82,309,295,32
50,Bojana Drca,/en/volleyball/women/teams/srb-serbia/players/bojana-drca?id=53431,29/03/1988,186,70,298,283,32
51,Tijana Malesevic,/en/volleyball/women/teams/srb-serbia/players/tijana-malesevic?id=53418,18/03/1991,185,78,300,286,29
52,Brankica Mihajlovic,/en/volleyball/women/teams/srb-serbia/players/brankica-mihajlovic?id=53419,13/04/1991,190,83,302,290,29
53,Maja Ognjenovic,/en/volleyball/women/teams/srb-serbia/players/maja-ognjenovic?id=53423,06/08/1984,183,67,300,293,36
54,Stefana Veljkovic,/en/volleyball/women/teams/srb-serbia/players/stefana-veljkovic?id=53430,09/01/1990,190,76,325,310,30
55,Jelena Nikolic,/en/volleyball/women/teams/srb-serbia/players/jelena-nikolic?id=53422,13/04/1982,194,79,315,300,38
56,Jovana Stevanovic,/en/volleyball/women/teams/srb-serbia/players/jovana-stevanovic?id=53429,30/06/1992,192,72,308,295,28
57,Milena Rasic,/en/volleyball/women/teams/srb-serbia/players/milena-rasic?id=53427,25/10/1990,193,72,315,310,30
58,Silvija Popovic,/en/volleyball/women/teams/srb-serbia/players/silvija-popovic?id=53425,15/03/1986,178,65,286,276,34
59,Tijana Boškovic,/en/volleyball/women/teams/srb-serbia/players/tijana-bo%c5%a1kovic?id=53413,08/03/1997,193,82,315,300,23
60,Hyo Hee Lee,/en/volleyball/women/teams/kor-korea/players/hyo-hee-lee?id=53401,09/09/1980,173,58,272,252,40
61,Heejin Kim,/en/volleyball/women/teams/kor-korea/players/heejin-kim?id=53396,29/04/1991,185,75,305,295,29
62,Hae Ran Kim,/en/volleyball/women/teams/kor-korea/players/hae-ran-kim?id=53395,16/03/1984,168,60,270,250,36
63,Youn Joo Hwang,/en/volleyball/women/teams/kor-korea/players/youn-joo-hwang?id=53393,13/08/1986,177,63,285,265,34
64,Jaeyeong Lee,/en/volleyball/women/teams/kor-korea/players/jaeyeong-lee?id=53402,15/10/1996,178,65,289,279,24
65,Jie Youn Nam,/en/volleyball/women/teams/kor-korea/players/jie-youn-nam?id=53406,25/05/1983,171,63,285,273,37
66,Yeon Koung Kim,/en/volleyball/women/teams/kor-korea/players/yeon-koung-kim?id=53399,26/02/1988,192,73,330,320,32
67,Su Ji Kim,/en/volleyball/women/teams/kor-korea/players/su-ji-kim?id=53398,11/07/1987,187,68,283,273,33
68,Jeongah Park,/en/volleyball/women/teams/kor-korea/players/jeongah-park?id=53407,26/03/1993,187,75,300,290,27
69,Hyo Jin Yang,/en/volleyball/women/teams/kor-korea/players/hyo-jin-yang?id=53409,14/12/1989,190,72,340,338,31
70,Yoo Na Bae,/en/volleyball/women/teams/kor-korea/players/yoo-na-bae?id=53391,30/11/1989,182,68,285,275,31
71,Hye Seon Yeum,/en/volleyball/women/teams/kor-korea/players/hye-seon-yeum?id=53410,03/02/1991,177,65,278,263,29
72,Yana Shcherban,/en/volleyball/women/teams/rus-russia/players/yana-shcherban?id=53335,06/09/1989,185,71,298,294,31
73,Elena Ezhova,/en/volleyball/women/teams/rus-russia/players/elena-ezhova?id=53339,14/08/1977,178,69,288,282,43
74,Irina Zaryazhko Koroleva,/en/volleyball/women/teams/rus-russia/players/irina-zaryazhko-koroleva?id=53338,04/10/1991,196,78,305,290,29
75,Daria Malygina,/en/volleyball/women/teams/rus-russia/players/daria-malygina?id=53333,04/04/1994,202,82,317,305,26
76,Nataliya Goncharova,/en/volleyball/women/teams/rus-russia/players/nataliya-goncharova?id=53327,01/06/1989,194,75,315,306,31
77,Vera Vetrova (Ulyakina),/en/volleyball/women/teams/rus-russia/players/vera-vetrova-(ulyakina)?id=53343,21/08/1986,180,73,298,293,34
78,Ekaterina Kosianenko,/en/volleyball/women/teams/rus-russia/players/ekaterina-kosianenko?id=53330,02/02/1990,178,64,290,285,30
79,Irina Fetisova,/en/volleyball/women/teams/rus-russia/players/irina-fetisova?id=53326,07/09/1994,190,76,307,286,26
80,Tatyana Kosheleva,/en/volleyball/women/teams/rus-russia/players/tatyana-kosheleva?id=53329,23/12/1988,191,67,315,305,32
81,Irina Voronkova,/en/volleyball/women/teams/rus-russia/players/irina-voronkova?id=53344,20/10/1995,190,84,305,290,25
82,Anna Podkopaeva,/en/volleyball/women/teams/rus-russia/players/anna-podkopaeva?id=53332,16/04/1990,175,59,290,286,30
83,Anastasia Shlyakhovaya,/en/volleyball/women/teams/rus-russia/players/anastasia-shlyakhovaya?id=53336,05/10/1990,192,69,313,307,30
84,Femke Stoltenborg,/en/volleyball/women/teams/ned-netherlands/players/femke-stoltenborg?id=53643,30/07/1991,189,81,303,299,29
85,Yvon Belien,/en/volleyball/women/teams/ned-netherlands/players/yvon-belien?id=53628,28/12/1993,188,73,307,303,27
86,Celeste Plak,/en/volleyball/women/teams/ned-netherlands/players/celeste-plak?id=53637,26/10/1995,190,87,314,302,25
87,Robin De Kruijf,/en/volleyball/women/teams/ned-netherlands/players/robin-de-kruijf?id=53630,05/05/1991,192,81,313,300,29
88,Maret Balkestein-Grothues,/en/volleyball/women/teams/ned-netherlands/players/maret-balkestein-grothues?id=53627,16/09/1988,180,68,304,285,32
89,Quinta Steenbergen,/en/volleyball/women/teams/ned-netherlands/players/quinta-steenbergen?id=53642,02/04/1985,189,75,309,300,35
90,Judith Pietersen,/en/volleyball/women/teams/ned-netherlands/players/judith-pietersen?id=53636,03/07/1989,188,73,306,296,31
91,Myrthe Schoot,/en/volleyball/women/teams/ned-netherlands/players/myrthe-schoot?id=53639,29/08/1988,182,70,298,286,32
92,Lonneke Slöetjes,/en/volleyball/women/teams/ned-netherlands/players/lonneke-sl%c3%b6etjes?id=53640,15/11/1990,191,76,322,315,30
93,Anne Buijs,/en/volleyball/women/teams/ned-netherlands/players/anne-buijs?id=53645,02/12/1991,191,73,317,299,29
94,Laura Dijkema,/en/volleyball/women/teams/ned-netherlands/players/laura-dijkema?id=53632,18/02/1990,184,70,293,279,30
95,Debby Stam-Pilon,/en/volleyball/women/teams/ned-netherlands/players/debby-stam-pilon?id=53641,24/07/1984,184,69,303,281,36
96,Miyu Nagaoka,/en/volleyball/women/teams/jpn-japan/players/miyu-nagaoka?id=53102,25/07/1991,179,64,308,303,29
97,Haruka Miyashita,/en/volleyball/women/teams/jpn-japan/players/haruka-miyashita?id=53100,01/09/1994,177,61,298,272,26
98,Saori Kimura,/en/volleyball/women/teams/jpn-japan/players/saori-kimura?id=52925,19/08/1986,185,65,304,293,34
99,Arisa Sato,/en/volleyball/women/teams/jpn-japan/players/arisa-sato?id=53105,18/07/1989,166,53,275,266,31
100,Yurie Nabeya,/en/volleyball/women/teams/jpn-japan/players/yurie-nabeya?id=53101,15/12/1993,176,57,305,292,27
101,Mai Yamaguchi,/en/volleyball/women/teams/jpn-japan/players/mai-yamaguchi?id=53111,03/07/1983,176,62,304,292,37
102,Haruyo Shimamura,/en/volleyball/women/teams/jpn-japan/players/haruyo-shimamura?id=53107,04/03/1992,182,78,297,290,28
103,Erika Shinomiya,/en/volleyball/women/teams/jpn-japan/players/erika-shinomiya?id=53094,03/08/1984,186,78,305,297,36
104,Yuki Ishii,/en/volleyball/women/teams/jpn-japan/players/yuki-ishii?id=53097,08/05/1991,180,67,305,287,29
105,Saori Sakoda,/en/volleyball/women/teams/jpn-japan/players/saori-sakoda?id=53104,18/12/1987,175,63,305,279,33
106,Kotoki Zayasu,/en/volleyball/women/teams/jpn-japan/players/kotoki-zayasu?id=53112,11/01/1990,159,57,270,255,30
107,Kanami Tashiro,/en/volleyball/women/teams/jpn-japan/players/kanami-tashiro?id=53109,25/03/1991,173,68,289,273,29
108,Serena Ortolani,/en/volleyball/women/teams/ita-italy/players/serena-ortolani?id=52762,07/01/1987,187,63,320,240,33
109,Alessia Orro,/en/volleyball/women/teams/ita-italy/players/alessia-orro?id=52761,18/07/1998,180,74,308,231,22
110,Monica De Gennaro,/en/volleyball/women/teams/ita-italy/players/monica-de-gennaro?id=52765,08/01/1987,174,67,292,217,33
111,Martina Guiggi,/en/volleyball/women/teams/ita-italy/players/martina-guiggi?id=52757,01/05/1984,187,80,317,312,36
112,Alessia Gennari,/en/volleyball/women/teams/ita-italy/players/alessia-gennari?id=53453,03/11/1991,184,68,305,238,29
113,Nadia Centoni,/en/volleyball/women/teams/ita-italy/players/nadia-centoni?id=52749,19/06/1981,182,63,315,311,39
114,Cristina Chirichella,/en/volleyball/women/teams/ita-italy/players/cristina-chirichella?id=52750,10/02/1994,194,79,322,306,26
115,Eleonora Lo Bianco,/en/volleyball/women/teams/ita-italy/players/eleonora-lo-bianco?id=53525,22/12/1979,171,67,300,295,41
116,Antonella Del Core,/en/volleyball/women/teams/ita-italy/players/antonella-del-core?id=52752,05/11/1980,180,75,310,305,40
117,Miryam Fatime Sylla,/en/volleyball/women/teams/ita-italy/players/miryam-fatime-sylla?id=52754,08/01/1995,184,80,320,240,25
118,Paola Ogechi Egonu,/en/volleyball/women/teams/ita-italy/players/paola-ogechi-egonu?id=52766,18/12/1998,193,80,344,321,22
119,Anna Danesi,/en/volleyball/women/teams/ita-italy/players/anna-danesi?id=52751,20/04/1996,198,78,312,294,24
120,Debora Seilhamer,/en/volleyball/women/teams/pur-puerto%20rico/players/debora-seilhamer?id=53253,04/10/1985,166,61,245,240,35
121,Shara Venegas,/en/volleyball/women/teams/pur-puerto%20rico/players/shara-venegas?id=53255,18/09/1992,173,68,280,272,28
122,Vilmarie Mojica,/en/volleyball/women/teams/pur-puerto%20rico/players/vilmarie-mojica?id=53245,13/08/1985,180,63,295,288,35
123,Yarimar Rosa,/en/volleyball/women/teams/pur-puerto%20rico/players/yarimar-rosa?id=53258,20/06/1988,178,62,295,285,32
124,Stephanie Enright,/en/volleyball/women/teams/pur-puerto%20rico/players/stephanie-enright?id=53243,15/12/1990,179,56,300,292,30
125,Aurea Cruz,/en/volleyball/women/teams/pur-puerto%20rico/players/aurea-cruz?id=53241,10/01/1982,180,63,310,290,38
126,Diana Reyes,/en/volleyball/women/teams/pur-puerto%20rico/players/diana-reyes?id=53250,29/04/1993,191,80,303,299,27
127,Karina Ocasio,/en/volleyball/women/teams/pur-puerto%20rico/players/karina-ocasio?id=53247,01/08/1985,192,76,298,288,35
128,Natalia Valentin,/en/volleyball/women/teams/pur-puerto%20rico/players/natalia-valentin?id=53254,12/09/1989,170,61,244,240,31
129,Daly Santana,/en/volleyball/women/teams/pur-puerto%20rico/players/daly-santana?id=53259,19/02/1995,185,65,300,274,25
130,Alexandra Oquendo,/en/volleyball/women/teams/pur-puerto%20rico/players/alexandra-oquendo?id=53248,03/02/1984,189,75,297,284,36
131,Lynda Morales,/en/volleyball/women/teams/pur-puerto%20rico/players/lynda-morales?id=53257,20/05/1988,188,74,302,296,32
132,Stephanie Fotso Mogoung,/en/volleyball/women/teams/cmr-cameroon/players/stephanie-fotso-mogoung?id=53654,25/09/1987,187,78,301,275,33
133,Christelle Tchoudjang Nana,/en/volleyball/women/teams/cmr-cameroon/players/christelle-tchoudjang-nana?id=53662,07/07/1989,184,80,308,285,31
134,Raissa Nasser,/en/volleyball/women/teams/cmr-cameroon/players/raissa-nasser?id=53658,19/08/1994,173,73,284,270,26
135,Théorine Christelle Aboa Mbeza,/en/volleyball/women/teams/cmr-cameroon/players/th%c3%a9orine-christelle-aboa-mbeza?id=53648,25/08/1992,182,78,294,275,28
136,Laetitia Crescence Moma Bassoko,/en/volleyball/women/teams/cmr-cameroon/players/laetitia-crescence-moma-bassoko?id=53657,09/10/1993,184,81,301,281,27
137,Henriette Nadege Koulla,/en/volleyball/women/teams/cmr-cameroon/players/henriette-nadege-koulla?id=53655,14/09/1992,171,67,280,264,28
138,Berthrade Simone Flore Bikatal,/en/volleyball/women/teams/cmr-cameroon/players/berthrade-simone-flore-bikatal?id=53652,23/07/1992,183,76,297,253,28
139,Victoire Pauline L'or Ngon Ntame,/en/volleyball/women/teams/cmr-cameroon/players/victoire-pauline-l%27or-ngon-ntame?id=53659,31/12/1985,177,79,288,253,35
140,Abdoulkarim Fawziya,/en/volleyball/women/teams/cmr-cameroon/players/abdoulkarim-fawziya?id=53653,01/03/1989,180,67,292,275,31
141,Bodo Essissima Madeleine Samantha,/en/volleyball/women/teams/cmr-cameroon/players/bodo-essissima-madeleine-samantha?id=53656,29/04/1992,182,75,296,275,28
142,Yolande Juliana Amana Guigolo,/en/volleyball/women/teams/cmr-cameroon/players/yolande-juliana-amana-guigolo?id=53649,15/09/1997,184,78,292,275,23
143,Ezssi Emelda Piata,/en/volleyball/women/teams/cmr-cameroon/players/ezssi-emelda-piata?id=53661,08/04/1997,190,65,295,281,23
