index,name,date_of_birth,height,weight,spike,block,link
1,Aylen Ayub,18/06/2002,181,63,290,273,/en/volleyball/worldchampionships/u18/women/2019/teams/arg-argentina/players/aylen-ayub?id=76222
2,Julieta Sandez,19/11/2002,190,85,298,280,/en/volleyball/worldchampionships/u18/women/2019/teams/arg-argentina/players/julieta-sandez?id=76237
3,Maria Tiziana Puljiz,13/02/2002,180,68,290,270,/en/volleyball/worldchampionships/u18/women/2019/teams/arg-argentina/players/maria-tiziana-puljiz?id=76233
4,Catalina Rochaix,29/08/2002,171,64,271,259,/en/volleyball/worldchampionships/u18/women/2019/teams/arg-argentina/players/catalina-rochaix?id=76235
5,Bianca Bertolino,04/07/2002,185,70,302,281,/en/volleyball/worldchampionships/u18/women/2019/teams/arg-argentina/players/bianca-bertolino?id=76223
6,Valentina Paredes,04/04/2002,173,60,284,268,/en/volleyball/worldchampionships/u18/women/2019/teams/arg-argentina/players/valentina-paredes?id=76231
7,Guadalupe Martin,23/03/2002,181,72,288,273,/en/volleyball/worldchampionships/u18/women/2019/teams/arg-argentina/players/guadalupe-martin?id=76230
8,Florencia Wolkowyski,10/12/2002,179,61,290,277,/en/volleyball/worldchampionships/u18/women/2019/teams/arg-argentina/players/florencia-wolkowyski?id=76239
9,Bianca Cugno,22/04/2003,191,72,290,270,/en/volleyball/worldchampionships/u18/women/2019/teams/arg-argentina/players/bianca-cugno?id=76226
10,Evelyn Rohrberg,07/04/2003,186,76,290,281,/en/volleyball/worldchampionships/u18/women/2019/teams/arg-argentina/players/evelyn-rohrberg?id=76236
11,Balbanera Azul Ulla,12/03/2002,184,80,290,273,/en/volleyball/worldchampionships/u18/women/2019/teams/arg-argentina/players/balbanera-azul-ulla?id=76238
12,Julieta Holzmaisters,09/01/2002,178,59,290,280,/en/volleyball/worldchampionships/u18/women/2019/teams/arg-argentina/players/julieta-holzmaisters?id=76229
13,Palina Shletsar,01/07/2002,172,64,270,257,/en/volleyball/worldchampionships/u18/women/2019/teams/blr-belarus/players/palina-shletsar?id=74777
14,Yuliya Hrynevich,09/08/2002,175,62,268,255,/en/volleyball/worldchampionships/u18/women/2019/teams/blr-belarus/players/yuliya-hrynevich?id=74769
15,Kseniya Liabiodkina,18/02/2002,182,70,287,277,/en/volleyball/worldchampionships/u18/women/2019/teams/blr-belarus/players/kseniya-liabiodkina?id=74772
16,Darya Burak,12/09/2002,188,72,291,284,/en/volleyball/worldchampionships/u18/women/2019/teams/blr-belarus/players/darya-burak?id=74768
17,Hanna Karabinovich,15/04/2003,184,65,301,288,/en/volleyball/worldchampionships/u18/women/2019/teams/blr-belarus/players/hanna-karabinovich?id=74770
18,Darya Sauchuk,13/07/2002,180,67,274,265,/en/volleyball/worldchampionships/u18/women/2019/teams/blr-belarus/players/darya-sauchuk?id=74775
19,Anastasiya Shahun,01/11/2002,180,61,286,273,/en/volleyball/worldchampionships/u18/women/2019/teams/blr-belarus/players/anastasiya-shahun?id=74776
20,Lizaveta Bahayeva,03/09/2003,171,57,267,256,/en/volleyball/worldchampionships/u18/women/2019/teams/blr-belarus/players/lizaveta-bahayeva?id=74766
21,Darya Borys,12/03/2003,180,68,278,270,/en/volleyball/worldchampionships/u18/women/2019/teams/blr-belarus/players/darya-borys?id=74767
22,Viktoryia Kastsiuchyk,10/04/2002,178,67,275,250,/en/volleyball/worldchampionships/u18/women/2019/teams/blr-belarus/players/viktoryia-kastsiuchyk?id=74771
23,Darya Vakulka,07/06/2002,187,62,287,276,/en/volleyball/worldchampionships/u18/women/2019/teams/blr-belarus/players/darya-vakulka?id=74780
24,Emilia Mikanovich,24/11/2003,180,62,279,268,/en/volleyball/worldchampionships/u18/women/2019/teams/blr-belarus/players/emilia-mikanovich?id=74773
25,Istefani Dos Santos Silva,24/03/2003,180,62,284,278,/en/volleyball/worldchampionships/u18/women/2019/teams/bra-brazil/players/istefani-dos-santos-silva?id=76305
26,Marcelle De Arruda Mattos Da Silva,02/02/2002,163,54,286,262,/en/volleyball/worldchampionships/u18/women/2019/teams/bra-brazil/players/marcelle-de-arruda-mattos-da-silva?id=76302
27,Ana CecÃ­lia Aparecida Lopes,25/09/2003,176,74,286,274,/en/volleyball/worldchampionships/u18/women/2019/teams/bra-brazil/players/ana-cec%c3%adlia-aparecida-lopes?id=76299
28,Stephany Gomes Xavier Morete,30/08/2003,179,76,289,276,/en/volleyball/worldchampionships/u18/women/2019/teams/bra-brazil/players/stephany-gomes-xavier-morete?id=76306
29,Ana Cristina Menezes Oliveira De Souza,07/04/2004,192,79,309,296,/en/volleyball/worldchampionships/u18/women/2019/teams/bra-brazil/players/ana-cristina-menezes-oliveira-de-souza?id=76317
30,LÃ­via Dos Santos Gomes Lima,08/06/2003,184,70,302,284,/en/volleyball/worldchampionships/u18/women/2019/teams/bra-brazil/players/l%c3%advia-dos-santos-gomes-lima?id=76304
31,Julia Gambatto Kudiess,02/01/2003,189,76,301,287,/en/volleyball/worldchampionships/u18/women/2019/teams/bra-brazil/players/julia-gambatto-kudiess?id=76316
32,Maria Clara Albrecht Carvalhaes,28/09/2003,173,74,282,275,/en/volleyball/worldchampionships/u18/women/2019/teams/bra-brazil/players/maria-clara-albrecht-carvalhaes?id=76298
33,Carolina Grossi De Souza Santos,28/06/2002,191,76,292,282,/en/volleyball/worldchampionships/u18/women/2019/teams/bra-brazil/players/carolina-grossi-de-souza-santos?id=76307
34,KÃ¡tia Larissa Machado Da Silva,04/10/2002,184,74,291,285,/en/volleyball/worldchampionships/u18/women/2019/teams/bra-brazil/players/k%c3%a1tia-larissa-machado-da-silva?id=76308
35,Ana Luiza RÃ¼diger,02/01/2003,182,68,290,278,/en/volleyball/worldchampionships/u18/women/2019/teams/bra-brazil/players/ana-luiza-r%c3%bcdiger?id=76311
36,Leticia Araujo Almeida Holanda Moura,08/05/2003,159,54,272,252,/en/volleyball/worldchampionships/u18/women/2019/teams/bra-brazil/players/leticia-araujo-almeida-holanda-moura?id=76315
