id,name,date_of_birth,height,weight,spike,block,link
1,Victoria Mayer,19/06/2001,180,59,285,265,/en/volleyball/worldchampionships/u20/women/2019/teams/arg-argentina/players/victoria-mayer?id=73152
2,Aylen Ayub,18/06/2002,181,63,290,273,/en/volleyball/worldchampionships/u20/women/2019/teams/arg-argentina/players/aylen-ayub?id=73141
3,Maria Tiziana Puljiz,13/02/2002,180,68,290,270,/en/volleyball/worldchampionships/u20/women/2019/teams/arg-argentina/players/maria-tiziana-puljiz?id=73154
4,Candela Sol Salinas,23/05/2000,183,64,278,265,/en/volleyball/worldchampionships/u20/women/2019/teams/arg-argentina/players/candela-sol-salinas?id=73156
5,Angeles Ligorria,24/01/2000,180,68,290,270,/en/volleyball/worldchampionships/u20/women/2019/teams/arg-argentina/players/angeles-ligorria?id=73150
6,Martina Delucchi,13/10/2000,179,74,293,273,/en/volleyball/worldchampionships/u20/women/2019/teams/arg-argentina/players/martina-delucchi?id=73147
7,Sofia Meinardi,22/11/2001,175,70,287,270,/en/volleyball/worldchampionships/u20/women/2019/teams/arg-argentina/players/sofia-meinardi?id=73153
8,Bianca Farriol,18/12/2001,180,68,290,270,/en/volleyball/worldchampionships/u20/women/2019/teams/arg-argentina/players/bianca-farriol?id=73148
9,Martina Castro,18/12/2000,174,63,290,270,/en/volleyball/worldchampionships/u20/women/2019/teams/arg-argentina/players/martina-castro?id=73143
10,Bianca Cugno,22/04/2003,191,72,290,270,/en/volleyball/worldchampionships/u20/women/2019/teams/arg-argentina/players/bianca-cugno?id=73146
11,Melisa Gabriela Corzo,01/05/2000,180,64,283,274,/en/volleyball/worldchampionships/u20/women/2019/teams/arg-argentina/players/melisa-gabriela-corzo?id=73145
12,Berenice Almeyda,07/05/2001,180,68,290,270,/en/volleyball/worldchampionships/u20/women/2019/teams/arg-argentina/players/berenice-almeyda?id=73140
13,Rosely Evaristo Nogueira,06/03/2001,175,67,270,265,/en/volleyball/worldchampionships/u20/women/2019/teams/bra-brazil/players/rosely-evaristo-nogueira?id=72912
14,Laura Gambatto Kudiess,25/02/2001,188,72,300,286,/en/volleyball/worldchampionships/u20/women/2019/teams/bra-brazil/players/laura-gambatto-kudiess?id=72913
15,Julia Gambatto Kudiess,02/01/2003,189,76,301,287,/en/volleyball/worldchampionships/u20/women/2019/teams/bra-brazil/players/julia-gambatto-kudiess?id=72922
16,Julia Isabelle Bergmann,21/02/2001,196,78,301,289,/en/volleyball/worldchampionships/u20/women/2019/teams/bra-brazil/players/julia-isabelle-bergmann?id=72915
17,Daniela Seibt,17/04/2000,190,74,295,290,/en/volleyball/worldchampionships/u20/women/2019/teams/bra-brazil/players/daniela-seibt?id=72917
18,Jheovana Emanuele Sebastião,10/01/2001,194,90,300,290,/en/volleyball/worldchampionships/u20/women/2019/teams/bra-brazil/players/jheovana-emanuele-sebasti%c3%a3o?id=72955
19,Kisy Nascimento,28/01/2000,190,81,303,290,/en/volleyball/worldchampionships/u20/women/2019/teams/bra-brazil/players/kisy-nascimento?id=72916
20,Tainara Lemes Santos,09/03/2000,190,81,306,289,/en/volleyball/worldchampionships/u20/women/2019/teams/bra-brazil/players/tainara-lemes-santos?id=72923
21,Mayara Barcelos Da Silva,26/04/2001,182,74,293,284,/en/volleyball/worldchampionships/u20/women/2019/teams/bra-brazil/players/mayara-barcelos-da-silva?id=72954
22,Kenya Malachias,29/11/2000,185,73,294,280,/en/volleyball/worldchampionships/u20/women/2019/teams/bra-brazil/players/kenya-malachias?id=72910
