pk,id,name,link,date_of_birth,height,weight,spike,block,age,images,position
0,0,Fabiana Claudino,/en/volleyball/worldcup/2019/women/teams/bra-brazil/players/fabiana-claudino?id=77752,24/01/1985,193,76,314,293,35,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88611&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
1,1,Mara Ferreira Leao,/en/volleyball/worldcup/2019/women/teams/bra-brazil/players/mara-ferreira-leao?id=77753,26/07/1991,190,84,320,301,29,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88543&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
2,2,Macris Fernanda Silva Carneiro,/en/volleyball/worldcup/2019/women/teams/bra-brazil/players/macris-fernanda-silva-carneiro?id=77748,03/03/1989,178,64,292,275,31,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88551&type=Press&width=300&height=450&stretch=uniformtofill,Setter
3,3,Gabriela Candido Da Silva,/en/volleyball/worldcup/2019/women/teams/bra-brazil/players/gabriela-candido-da-silva?id=77791,22/05/1996,181,75,296,285,24,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88548&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
4,4,Amanda Francisco,/en/volleyball/worldcup/2019/women/teams/bra-brazil/players/amanda-francisco?id=77789,16/08/1988,180,62,304,286,32,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88539&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
5,5,Roberta Silva Ratzke,/en/volleyball/worldcup/2019/women/teams/bra-brazil/players/roberta-silva-ratzke?id=77749,28/04/1990,185,71,287,278,30,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88542&type=Press&width=300&height=450&stretch=uniformtofill,Setter
6,6,Gabriela Braga Guimaraes,/en/volleyball/worldcup/2019/women/teams/bra-brazil/players/gabriela-braga-guimaraes?id=77785,19/05/1994,180,65,305,289,26,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88546&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
7,7,Sheilla Castro De Paula Blassioli,/en/volleyball/worldcup/2019/women/teams/bra-brazil/players/sheilla-castro-de-paula-blassioli?id=77793,01/07/1983,185,64,302,284,37,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88538&type=Press&width=300&height=450&stretch=uniformtofill,Opposite spiker
8,8,Ana Carolina Da Silva,/en/volleyball/worldcup/2019/women/teams/bra-brazil/players/ana-carolina-da-silva?id=77783,08/04/1991,183,73,290,290,29,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88550&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
9,9,Camila Brait,/en/volleyball/worldcup/2019/women/teams/bra-brazil/players/camila-brait?id=77751,28/10/1988,170,58,271,256,32,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88613&type=Press&width=300&height=450&stretch=uniformtofill,Libero
10,10,Leia Henrique Da Silva Nicolosi,/en/volleyball/worldcup/2019/women/teams/bra-brazil/players/leia-henrique-da-silva-nicolosi?id=77754,01/03/1985,160,60,275,269,35,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88552&type=Press&width=300&height=450&stretch=uniformtofill,Libero
11,11,Ana Beatriz Correa,/en/volleyball/worldcup/2019/women/teams/bra-brazil/players/ana-beatriz-correa?id=77782,07/02/1992,187,70,298,292,28,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88541&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
12,12,Drussyla Costa,/en/volleyball/worldcup/2019/women/teams/bra-brazil/players/drussyla-costa?id=77788,01/07/1996,182,73,304,286,24,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88603&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
13,13,Lorenne Geraldo Teixeira,/en/volleyball/worldcup/2019/women/teams/bra-brazil/players/lorenne-geraldo-teixeira?id=77794,08/01/1996,187,72,306,289,24,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88549&type=Press&width=300&height=450&stretch=uniformtofill,Opposite spiker
14,14,Annerys Victoria Vargas Valdez,/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/annerys-victoria-vargas-valdez?id=77083,07/08/1981,196,70,327,320,39,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87193&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
