id,name,date_of_birth,height,weight,spike,block,link
1,Caroline De Oliveira Saad Gattaz,27/07/1981,192,78,315,299,Players.asp?Tourn=WGP2010&Team=BRA&No=113245
2,Danielle Lins,5/01/1985,181,68,290,276,Players.asp?Tourn=WGP2010&Team=BRA&No=112625
3,Paula Pequeno,22/01/1982,184,74,302,285,Players.asp?Tourn=WGP2010&Team=BRA&No=112357
4,Adenizia Da Silva,18/12/1986,185,63,312,290,Players.asp?Tourn=WGP2010&Team=BRA&No=113955
5,Thaisa Daher de Menezes,15/05/1987,196,79,316,301,Players.asp?Tourn=WGP2010&Team=BRA&No=113963
6,Marianne Steinbrecher,23/08/1983,188,70,310,290,Players.asp?Tourn=WGP2010&Team=BRA&No=114276
7,Jaqueline Pereira De Carvalho Endres,31/12/1983,186,70,302,286,Players.asp?Tourn=WGP2010&Team=BRA&No=112365
8,Natalia Martins,11/12/1984,185,69,300,286,Players.asp?Tourn=WGP2010&Team=BRA&No=131889
9,Welissa Gonzaga,9/09/1982,179,76,300,287,Players.asp?Tourn=WGP2010&Team=BRA&No=112363
10,Joyce Silva,13/06/1984,190,67,311,294,Players.asp?Tourn=WGP2010&Team=BRA&No=112634
11,Natalia Pereira,4/04/1989,186,83,311,295,Players.asp?Tourn=WGP2010&Team=BRA&No=115952
12,Sheilla Castro De Paula Blassioli,1/07/1983,185,64,302,284,Players.asp?Tourn=WGP2010&Team=BRA&No=112366
13,Fabiana Oliveira,7/03/1980,169,59,276,266,Players.asp?Tourn=WGP2010&Team=BRA&No=113162
14,Ana Tiemi Takagui,26/10/1987,187,74,295,284,Players.asp?Tourn=WGP2010&Team=BRA&No=113966
15,Fernanda Rodrigues,10/05/1986,179,74,308,288,Players.asp?Tourn=WGP2010&Team=BRA&No=112641
16,Josefa Fabiola Almeida De Sousa Alves,3/02/1983,184,70,300,285,Players.asp?Tourn=WGP2010&Team=BRA&No=119147
17,Camila Brait,28/10/1988,170,58,271,256,Players.asp?Tourn=WGP2010&Team=BRA&No=119241
18,Juciely Cristina Barreto,18/12/1980,184,71,289,285,Players.asp?Tourn=WGP2010&Team=BRA&No=132589
19,Lei Zhang,11/01/1985,181,71,316,310,Players.asp?Tourn=WGP2010&Team=CHN&No=132057
20,Jie Yang,1/03/1994,194,82,312,300,Players.asp?Tourn=WGP2010&Team=CHN&No=119302
21,Ruoqi Hui,4/03/1991,189,70,312,305,Players.asp?Tourn=WGP2010&Team=CHN&No=123853
22,Yu Luo,27/02/1987,190,75,310,300,Players.asp?Tourn=WGP2010&Team=CHN&No=114519
23,Nan Wang,13/08/1984,181,67,305,295,Players.asp?Tourn=WGP2010&Team=CHN&No=114977
24,Xian Zhang,16/03/1985,168,57,290,280,Players.asp?Tourn=WGP2010&Team=CHN&No=118621
25,Qiuyue Wei,26/09/1988,182,75,305,300,Players.asp?Tourn=WGP2010&Team=CHN&No=114976
26,Qian Wang,14/03/1989,174,65,305,295,Players.asp?Tourn=WGP2010&Team=CHN&No=123857
27,Juan Li,15/05/1981,187,72,315,305,Players.asp?Tourn=WGP2010&Team=CHN&No=112402
28,Yunli Xu,2/08/1987,196,75,317,315,Players.asp?Tourn=WGP2010&Team=CHN&No=123864
29,Ming Xue,23/02/1987,193,72,324,315,Players.asp?Tourn=WGP2010&Team=CHN&No=114516
