name,link,date_of_birth,age,height,weight,spike,block
Bianka Busa,/en/group1/competition/teams/srb-serbia/players/bianka-busa?id=59640,25/07/1994,26,187,74,312,298
Sanja Malagurski,/en/group1/competition/teams/srb-serbia/players/sanja-malagurski?id=59643,08/06/1990,30,193,74,305,295
Bojana Drca,/en/group1/competition/teams/srb-serbia/players/bojana-drca?id=59656,29/03/1988,32,186,70,298,283
Tijana Malesevic,/en/group1/competition/teams/srb-serbia/players/tijana-malesevic?id=59644,18/03/1991,29,185,78,300,286
Ana Antonijevic,/en/group1/competition/teams/srb-serbia/players/ana-antonijevic?id=59636,26/08/1987,33,185,71,282,269
Brankica Mihajlovic,/en/group1/competition/teams/srb-serbia/players/brankica-mihajlovic?id=59645,13/04/1991,29,190,83,302,290
Stefana Veljkovic,/en/group1/competition/teams/srb-serbia/players/stefana-veljkovic?id=59655,09/01/1990,30,190,76,325,310
Teodora Pusic,/en/group1/competition/teams/srb-serbia/players/teodora-pusic?id=59651,12/03/1993,27,170,58,270,260
Ana Bjelica,/en/group1/competition/teams/srb-serbia/players/ana-bjelica?id=59637,03/04/1992,28,190,78,310,305
Jovana Stevanovic,/en/group1/competition/teams/srb-serbia/players/jovana-stevanovic?id=59654,30/06/1992,28,192,72,308,295
Milena Rasic,/en/group1/competition/teams/srb-serbia/players/milena-rasic?id=59653,25/10/1990,30,193,72,315,310
Tijana Boškovic,/en/group1/competition/teams/srb-serbia/players/tijana-bo%c5%a1kovic?id=59639,08/03/1997,23,193,82,315,300
Bojana Milenkovic,/en/group1/competition/teams/srb-serbia/players/bojana-milenkovic?id=59646,06/03/1997,23,185,70,294,288
Jelena Blagojevic,/en/group1/competition/teams/srb-serbia/players/jelena-blagojevic?id=59638,01/12/1988,32,181,67,302,284
Gizem Orge,/en/group1/competition/teams/tur-turkey/players/gizem-orge?id=59138,26/04/1993,27,170,59,270,260
Simge Sebnem Akoz,/en/group1/competition/teams/tur-turkey/players/simge-sebnem-akoz?id=59127,23/04/1991,29,168,56,250,245
Seyma Ercan,/en/group1/competition/teams/tur-turkey/players/seyma-ercan?id=59135,05/07/1994,26,187,73,305,294
Gamze Alikaya,/en/group1/competition/teams/tur-turkey/players/gamze-alikaya?id=59128,01/01/1993,27,179,68,300,280
Kubra Caliskan,/en/group1/competition/teams/tur-turkey/players/kubra-caliskan?id=59126,13/10/1994,26,198,86,310,310
Polen Uslupehlivan,/en/group1/competition/teams/tur-turkey/players/polen-uslupehlivan?id=59140,27/08/1990,30,193,65,320,310
Meliha Ismailoglu,/en/group1/competition/teams/tur-turkey/players/meliha-ismailoglu?id=59136,17/09/1993,27,188,73,303,291
Ezgi Dilik,/en/group1/competition/teams/tur-turkey/players/ezgi-dilik?id=59133,12/06/1995,25,177,72,288,280
Ozge Nur Yurtdagulen,/en/group1/competition/teams/tur-turkey/players/ozge-nur-yurtdagulen?id=59144,06/08/1993,27,193,67,320,310
Hande Baladin,/en/group1/competition/teams/tur-turkey/players/hande-baladin?id=59130,01/09/1997,23,190,81,309,300
Beyza Arici,/en/group1/competition/teams/tur-turkey/players/beyza-arici?id=59994,27/07/1995,25,193,83,303,294
Dicle Nur Babat,/en/group1/competition/teams/tur-turkey/players/dicle-nur-babat?id=59129,15/09/1992,28,190,78,300,290
Fatma Yildirim,/en/group1/competition/teams/tur-turkey/players/fatma-yildirim?id=59141,03/01/1990,30,180,64,304,292
Meryem Boz,/en/group1/competition/teams/tur-turkey/players/meryem-boz?id=59131,03/02/1988,32,190,68,323,313
Xinyue Yuan,/en/group1/competition/teams/chn-china/players/xinyue-yuan?id=59121,21/12/1996,24,201,78,317,311
Ting Zhu,/en/group1/competition/teams/chn-china/players/ting-zhu?id=59124,29/11/1994,26,198,78,327,300
Jing Li,/en/group1/competition/teams/chn-china/players/jing-li?id=59109,09/08/1991,29,186,73,310,305
Jingwen Qian,/en/group1/competition/teams/chn-china/players/jingwen-qian?id=59114,11/05/1998,22,186,70,305,297
Yi Gao,/en/group1/competition/teams/chn-china/players/yi-gao?id=59106,22/07/1998,22,193,66,304,298
Xiangyu Gong,/en/group1/competition/teams/chn-china/players/xiangyu-gong?id=59108,21/04/1997,23,186,72,313,302
Linyu Diao,/en/group1/competition/teams/chn-china/players/linyu-diao?id=59104,07/04/1994,26,182,69,309,303
Changning Zhang,/en/group1/competition/teams/chn-china/players/changning-zhang?id=59122,06/11/1995,25,193,80,315,303
Xiaotong Liu,/en/group1/competition/teams/chn-china/players/xiaotong-liu?id=59112,16/02/1990,30,188,80,312,300
Yixin Zheng,/en/group1/competition/teams/chn-china/players/yixin-zheng?id=59123,06/05/1995,25,187,71,316,307
Li Lin,/en/group1/competition/teams/chn-china/players/li-lin?id=59111,05/07/1992,28,171,65,294,294
Xia Ding,/en/group1/competition/teams/chn-china/players/xia-ding?id=59105,13/01/1990,30,180,67,305,300
Yuanyuan Wang,/en/group1/competition/teams/chn-china/players/yuanyuan-wang?id=59117,14/07/1997,23,195,75,312,300
Mengjie Wang,/en/group1/competition/teams/chn-china/players/mengjie-wang?id=59116,14/11/1995,25,172,65,289,280
Indre Sorokaite,/en/group1/competition/teams/ita-italy/players/indre-sorokaite?id=59395,02/07/1988,32,188,80,303,280
Sara Loda,/en/group1/competition/teams/ita-italy/players/sara-loda?id=59389,22/08/1990,30,178,75,308,287
Sara Bonifacio,/en/group1/competition/teams/ita-italy/players/sara-bonifacio?id=59377,03/07/1996,24,188,75,328,310
Ofelia Malinov,/en/group1/competition/teams/ita-italy/players/ofelia-malinov?id=59390,29/02/1996,24,185,70,304,285
Monica De Gennaro,/en/group1/competition/teams/ita-italy/players/monica-de-gennaro?id=59384,08/01/1987,33,174,67,292,217
Raphaela Folie,/en/group1/competition/teams/ita-italy/players/raphaela-folie?id=59387,07/03/1991,29,187,73,324,300
Alessia Orro,/en/group1/competition/teams/ita-italy/players/alessia-orro?id=59392,18/07/1998,22,180,74,308,231
