index,id,name,date_of_birth,height,weight,spike,block,link,position_number,country,age_in_2011,age_in_2020
0,1,Yasmine Oudni,02/08/1989,182,67,250,240,Players.asp?Tourn=WWC2011&Team=ALG&No=134491,,ALG,22,31
1,2,Salima Hammouche,17/01/1984,158,54,270,265,Players.asp?Tourn=WWC2011&Team=ALG&No=120596,,ALG,27,36
2,3,Fatma Zahra Djouad,12/07/1988,180,62,295,285,Players.asp?Tourn=WWC2011&Team=ALG&No=120602,,ALG,23,32
3,4,Melinda Raissa Hennaoui,18/03/1990,178,68,295,284,Players.asp?Tourn=WWC2011&Team=ALG&No=120594,,ALG,21,30
4,5,Silya Magnana,16/03/1991,181,68,274,261,Players.asp?Tourn=WWC2011&Team=ALG&No=133380,,ALG,20,29
5,6,Fatima Zahra Oukazi,18/01/1984,175,67,295,283,Players.asp?Tourn=WWC2011&Team=ALG&No=113937,,ALG,27,36
6,7,Mouni Abderrahim,19/11/1985,171,60,305,293,Players.asp?Tourn=WWC2011&Team=ALG&No=112540,,ALG,26,35
7,8,Safia Boukhima,10/01/1991,176,64,294,284,Players.asp?Tourn=WWC2011&Team=ALG&No=120603,,ALG,20,29
8,9,Faiza Tsabet,22/03/1985,181,77,309,295,Players.asp?Tourn=WWC2011&Team=ALG&No=113938,,ALG,26,35
9,10,Aicha Mezemate,06/06/1991,187,75,300,285,Players.asp?Tourn=WWC2011&Team=ALG&No=124211,,ALG,20,29
10,11,Lydia Oulmou,02/02/1986,181,59,310,305,Players.asp?Tourn=WWC2011&Team=ALG&No=112531,,ALG,25,34
11,12,Tassadit Aissou,19/06/1989,184,80,295,285,Players.asp?Tourn=WWC2011&Team=ALG&No=120601,,ALG,22,31
12,13,Lucia Gaido,19/01/1988,164,53,245,244,Players.asp?Tourn=WWC2011&Team=ARG&No=124662,,ARG,23,32
13,14,Paula Yamila Nizetich,27/01/1989,181,74,305,295,Players.asp?Tourn=WWC2011&Team=ARG&No=122486,,ARG,22,31
14,15,Maria Jimena Perez,06/02/1984,176,64,290,275,Players.asp?Tourn=WWC2011&Team=ARG&No=138015,,ARG,27,36
15,16,Lucia Fresco,14/05/1991,195,92,304,290,Players.asp?Tourn=WWC2011&Team=ARG&No=124661,,ARG,20,29
16,17,Tatiana Soledad Rizzo,30/12/1986,178,64,280,268,Players.asp?Tourn=WWC2011&Team=ARG&No=122484,,ARG,25,34
17,18,Emilce Sosa,11/09/1987,177,72,305,295,Players.asp?Tourn=WWC2011&Team=ARG&No=124660,,ARG,24,33
18,19,Antonella Bortolozzi,22/01/1986,182,72,298,278,Players.asp?Tourn=WWC2011&Team=ARG&No=117251,,ARG,25,34
19,20,Leticia Boscacci,08/11/1985,186,70,302,284,Players.asp?Tourn=WWC2011&Team=ARG&No=117250,,ARG,26,35
