id,name,link,date_of_birth,height,weight,spike,block,age
0,Mara Ferreira Leao,/en/teams/bra-brazil/players/mara-ferreira-leao?id=62556,26/07/1991,190,84,320,301,29
1,Naiane De Almeida Rios,/en/teams/bra-brazil/players/naiane-de-almeida-rios?id=62563,29/11/1994,179,63,276,281,26
2,Ana Carolina Da Silva,/en/teams/bra-brazil/players/ana-carolina-da-silva?id=62551,08/04/1991,183,73,290,290,29
3,Rosamaria Montibeller,/en/teams/bra-brazil/players/rosamaria-montibeller?id=62559,09/04/1994,185,76,291,285,26
4,Roberta Silva Ratzke,/en/teams/bra-brazil/players/roberta-silva-ratzke?id=62562,28/04/1990,185,71,287,278,30
5,Gabriela Braga Guimaraes,/en/teams/bra-brazil/players/gabriela-braga-guimaraes?id=62554,19/05/1994,180,65,305,289,26
6,Tandara Caixeta,/en/teams/bra-brazil/players/tandara-caixeta?id=62547,30/10/1988,184,87,305,297,32
7,Natalia Pereira,/en/teams/bra-brazil/players/natalia-pereira?id=62560,04/04/1989,186,83,311,295,31
8,Amanda Francisco,/en/teams/bra-brazil/players/amanda-francisco?id=62553,16/08/1988,180,62,304,286,32
9,Gabriella Souza,/en/teams/bra-brazil/players/gabriella-souza?id=62565,14/12/1993,175,69,296,273,27
10,Monique Marinho Pavao,/en/teams/bra-brazil/players/monique-marinho-pavao?id=62558,31/10/1986,178,67,294,285,34
11,Suelen Pinto,/en/teams/bra-brazil/players/suelen-pinto?id=62561,04/10/1987,166,81,256,238,33
12,Ana Beatriz Correa,/en/teams/bra-brazil/players/ana-beatriz-correa?id=62549,07/02/1992,187,70,298,292,28
13,Saraelen Leandro Ferreira Lima,/en/teams/bra-brazil/players/saraelen-leandro-ferreira-lima?id=62557,16/04/1994,184,76,302,282,26
14,Nana Iwasaka,/en/teams/jpn-japan/players/nana-iwasaka?id=62441,03/07/1990,187,76,298,293,30
15,Risa Shinnabe,/en/teams/jpn-japan/players/risa-shinnabe?id=62449,11/07/1990,175,64,293,285,30
16,Erika Shinomiya,/en/teams/jpn-japan/players/erika-shinomiya?id=62434,03/08/1984,186,78,305,297,36
17,Yuki Ishii,/en/teams/jpn-japan/players/yuki-ishii?id=62438,08/05/1991,180,67,305,287,29
18,Haruyo Shimamura,/en/teams/jpn-japan/players/haruyo-shimamura?id=62448,04/03/1992,182,78,297,290,28
19,Koyomi Iwasaki,/en/teams/jpn-japan/players/koyomi-iwasaki?id=62450,01/05/1989,175,68,295,280,31
20,Yurie Nabeya,/en/teams/jpn-japan/players/yurie-nabeya?id=62444,15/12/1993,176,57,305,292,27
21,Miya Sato,/en/teams/jpn-japan/players/miya-sato?id=62447,07/03/1990,175,61,278,275,30
22,Mai Okumura,/en/teams/jpn-japan/players/mai-okumura?id=62446,31/10/1990,177,66,297,285,30
23,Mami Uchiseto,/en/teams/jpn-japan/players/mami-uchiseto?id=62451,25/10/1991,170,74,295,285,29
24,Mari Horikawa,/en/teams/jpn-japan/players/mari-horikawa?id=62435,03/05/1992,183,72,301,288,28
25,Mako Kobata,/en/teams/jpn-japan/players/mako-kobata?id=62439,15/08/1992,164,55,285,274,28
26,Kotoe Inoue,/en/teams/jpn-japan/players/kotoe-inoue?id=62436,15/02/1990,163,57,288,275,30
27,Rika Nomoto,/en/teams/jpn-japan/players/rika-nomoto?id=62445,21/09/1991,180,72,308,291,29
28,Jae-Eun Lee,/en/teams/kor-korea/players/jae-eun-lee?id=62053,11/03/1987,176,63,274,272,33
29,Yeongyeon Kim,/en/teams/kor-korea/players/yeongyeon-kim?id=62051,01/12/1993,163,54,267,247,27
30,Siyoung Jeong,/en/teams/kor-korea/players/siyoung-jeong?id=62047,12/03/1993,179,60,295,275,27
31,Goeun Lee,/en/teams/kor-korea/players/goeun-lee?id=62091,09/01/1995,170,64,275,265,25
32,Jaeyeong Lee,/en/teams/kor-korea/players/jaeyeong-lee?id=62054,15/10/1996,178,65,289,279,24
33,Hyun Jung Na,/en/teams/kor-korea/players/hyun-jung-na?id=62055,10/03/1990,163,54,257,250,30
34,Sooji Han,/en/teams/kor-korea/players/sooji-han?id=62045,01/02/1989,182,72,285,275,31
35,Su Ji Kim,/en/teams/kor-korea/players/su-ji-kim?id=62050,11/07/1987,187,68,283,273,33
36,Seoyeun Yoo,/en/teams/kor-korea/players/seoyeun-yoo?id=62058,12/01/1999,174,62,275,254,21
37,Yuri Kim,/en/teams/kor-korea/players/yuri-kim?id=62052,11/09/1991,182,75,300,290,29
