id,name,date_of_birth,height,weight,spike,block,link
1,Erica Adachi,27/02/1988,173,68,2900,2800/,VB_PlayerDB.asp?No=115946
2,Camila Brait,28/10/1988,170,58,271,256/,VB_PlayerDB.asp?No=119241
3,Camila Monteiro,17/01/1988,182,65,3120,2900/,VB_PlayerDB.asp?No=115945
4,Betina Schmidt,01/04/1989,185,68,3000,2950/,VB_PlayerDB.asp?No=115944
5,Silvana Papini,27/01/1988,178,65,295,284/,VB_PlayerDB.asp?No=115957
6,Priscila Daroit,10/08/1988,182,74,290,280/,VB_PlayerDB.asp?No=115970
7,Natalia Pereira,04/04/1989,186,83,311,295/,VB_PlayerDB.asp?No=115952
8,Amanda Francisco,16/08/1988,180,62,304,286/,VB_PlayerDB.asp?No=115940
9,Renata Maggioni,21/04/1988,189,67,3100,2900/,VB_PlayerDB.asp?No=115956
10,Maria de Lourdes Silva,04/05/1989,194,92,3160,3010/,VB_PlayerDB.asp?No=115948
11,Tandara Caixeta,30/10/1988,184,87,305,297/,VB_PlayerDB.asp?No=115958
12,Ingrid Felix,16/11/1988,174,63,294,290/,VB_PlayerDB.asp?No=119245
13,Linlin Fan,01/12/1991,190,77,316,301/,VB_PlayerDB.asp?No=116423
14,Xi Xi,14/03/1988,188,65,317,300/,VB_PlayerDB.asp?No=118689
15,Jingsi Shen,03/05/1989,186,75,305,294/,VB_PlayerDB.asp?No=116422
16,Yao Chen,25/09/1988,191,74,315,305/,VB_PlayerDB.asp?No=116421
17,Qian Wang,14/03/1990,174,60,290,285/,VB_PlayerDB.asp?No=116429
18,Xuan Huo,27/01/1988,190,68,312,305/,VB_PlayerDB.asp?No=116426
19,Na Yin,03/02/1988,182,65,313,300/,VB_PlayerDB.asp?No=114515
20,Ni Yan,02/03/1989,192,82,310,300/,VB_PlayerDB.asp?No=114971
21,Chen Wang,29/10/1990,182,70,312,302/,VB_PlayerDB.asp?No=114967
22,Junjing Yang,15/05/1989,190,70,308,300/,VB_PlayerDB.asp?No=118690
23,Yanni Zhao,23/10/1988,187,70,310,305/,VB_PlayerDB.asp?No=118692
24,Hana Cutura,10/03/1988,191,82,308,298/,VB_PlayerDB.asp?No=116370
25,Ana Grbac,23/03/1988,186,64,305,295/,VB_PlayerDB.asp?No=122715
26,Maja Batina,08/11/1989,189,77,305,290/,VB_PlayerDB.asp?No=119160
27,Ivana Kalebic,09/03/1989,186,80,295,290/,VB_PlayerDB.asp?No=116371
28,Jelena Alajbeg,01/10/1989,183,75,310,300/,VB_PlayerDB.asp?No=116385
29,Paola DoÅ¡en,06/01/1988,177,61,290,284/,VB_PlayerDB.asp?No=116365
30,Marina Ljubicic,29/04/1989,188,84,295,290/,VB_PlayerDB.asp?No=119161
31,Danica Uljevic,24/01/1990,189,73,300,295/,VB_PlayerDB.asp?No=119162
32,Simona Usic,04/01/1988,173,64,270,260/,VB_PlayerDB.asp?No=116374
33,Tara Vekic,12/06/1988,181,60,286,275/,VB_PlayerDB.asp?No=116367
34,Matea Ikic,25/05/1989,185,79,290,278/,VB_PlayerDB.asp?No=116366
35,Maja Burazer,20/03/1988,190,74,305,248/,VB_PlayerDB.asp?No=119166
36,Joana Junerys Alvarez Martinez,26/05/1990,190,83,284,299/,VB_PlayerDB.asp?No=119220
37,Yahayra Bautista,05/03/1988,175,55,301,298/,VB_PlayerDB.asp?No=112457
38,Ana Ligia Fabian Hernandez,07/11/1988,179,51,310,305/,VB_PlayerDB.asp?No=115388
39,Ingri Linmairy Carmona Araujo,17/03/1988,180,52,280,300/,VB_PlayerDB.asp?No=119218
40,Yeimy Annee Arias Pineda,21/12/1988,161,70,250,260/,VB_PlayerDB.asp?No=119219
41,Candida Estefany Arias Perez,11/03/1992,194,68,320,315/,VB_PlayerDB.asp?No=119224
42,Solangel Aquino Perez,29/09/1989,183,58,305,300/,VB_PlayerDB.asp?No=115387
43,Yanilsy Altagracia Paniagua,10/10/1989,177,72,281,298/,VB_PlayerDB.asp?No=119233
44,Yeniffer Cristina Ramirez Espinal,17/03/1993,183,67,285,289/,VB_PlayerDB.asp?No=119222
45,Karina Reyes Guzman,11/11/1989,177,70,270,280/,VB_PlayerDB.asp?No=119231
46,Keyla Rachelle Antigua de la Rosa,25/11/1988,190,80,310,303/,VB_PlayerDB.asp?No=115390
47,Alicia Basilenni Moreno Beras,25/04/1992,178,72,272,291/,VB_PlayerDB.asp?No=119227
48,Nahla Abd El Fattah,21/01/1990,174,74,273,265/,VB_PlayerDB.asp?No=116021
49,Samaa Aly,01/01/1989,171,66,277,263/,VB_PlayerDB.asp?No=116153
50,Norhan Rezk,27/01/1991,181,80,289,276/,VB_PlayerDB.asp?No=116156
51,Nermin Abou El Maaty,09/01/1990,178,74,286,270/,VB_PlayerDB.asp?No=116168
52,Nada Nassef,11/11/1990,179,71,291,282/,VB_PlayerDB.asp?No=116145
53,Youmna Abd Elhalim,02/05/1990,172,70,283,266/,VB_PlayerDB.asp?No=116167
54,Salma Badr Eldin,13/08/1988,174,62,294,271/,VB_PlayerDB.asp?No=116165
55,Ola Nosear,15/07/1988,179,71,289,279/,VB_PlayerDB.asp?No=116157
56,Ranna Badawi,14/05/1988,170,65,281,261/,VB_PlayerDB.asp?No=116147
57,Shahd Hussein,08/08/1989,176,66,292,267/,VB_PlayerDB.asp?No=116166
58,Dina El Bitar,16/01/1990,176,73,284,270/,VB_PlayerDB.asp?No=116164
59,Doaa Orfy,01/06/1989,166,68,267,255/,VB_PlayerDB.asp?No=116163
60,Janine VÃ¶lker,19/09/1991,0,0,301,290/,VB_PlayerDB.asp?No=147161
61,Karla Borger,22/11/1988,179,68,300,288/,VB_PlayerDB.asp?No=119108
62,Lisa RÃ¼hl,22/09/1989,178,67,300,280/,VB_PlayerDB.asp?No=119110
63,Sandra Sell,24/02/1989,184,77,306,291/,VB_PlayerDB.asp?No=119107
64,Jule Paul,31/01/1990,181,78,298,284/,VB_PlayerDB.asp?No=119106
65,Mona Kressl,19/09/1990,188,81,307,294/,VB_PlayerDB.asp?No=119115
66,Denise Hanke,31/08/1989,183,73,297,284/,VB_PlayerDB.asp?No=119105
67,Donata Huebert,25/04/1989,174,60,280,265/,VB_PlayerDB.asp?No=119116
68,Jennifer Pettke,29/05/1989,186,71,305,295/,VB_PlayerDB.asp?No=119117
69,Michaela Sabrowske,11/10/1988,186,63,305,295/,VB_PlayerDB.asp?No=119111
70,Sandra Gutsche,12/01/1988,182,65,296,284/,VB_PlayerDB.asp?No=119113
