id,name,date_of_birth,height,weight,spike,block,link
0,name,date_of_birth,height,weight,spike,block,link
1,Marianela Garbari,13/11/1980,165,65,280,270,Players.asp?Tourn=WGP2011&Team=ARG&No=135779
2,Paula Yamila Nizetich,27/01/1989,181,74,305,295,Players.asp?Tourn=WGP2011&Team=ARG&No=122486
3,Aylin Pereyra,2/07/1988,180,68,300,292,Players.asp?Tourn=WGP2011&Team=ARG&No=122485
4,Lucia Fresco,14/05/1991,195,92,304,290,Players.asp?Tourn=WGP2011&Team=ARG&No=124661
5,Daniela Gildenberger,12/06/1984,180,77,300,290,Players.asp?Tourn=WGP2011&Team=ARG&No=135503
6,Ileana Leyendeker,14/10/1986,189,84,301,293,Players.asp?Tourn=WGP2011&Team=ARG&No=117249
7,Tatiana Soledad Rizzo,30/12/1986,178,64,280,268,Players.asp?Tourn=WGP2011&Team=ARG&No=122484
8,Camila Jersonsky,30/05/1991,181,68,305,289,Players.asp?Tourn=WGP2011&Team=ARG&No=123035
9,Emilce Sosa,11/09/1987,177,72,305,295,Players.asp?Tourn=WGP2011&Team=ARG&No=124660
10,Georgina Pinedo,30/05/1981,180,64,312,290,Players.asp?Tourn=WGP2011&Team=ARG&No=113395
11,Antonella Bortolozzi,22/01/1986,182,72,298,278,Players.asp?Tourn=WGP2011&Team=ARG&No=117251
12,Leticia Boscacci,8/11/1985,186,70,302,284,Players.asp?Tourn=WGP2011&Team=ARG&No=117250
13,Florencia Carlotto,14/10/1988,183,72,302,291,Players.asp?Tourn=WGP2011&Team=ARG&No=123034
14,Julieta Constanza Lazcano,25/07/1989,190,76,312,293,Players.asp?Tourn=WGP2011&Team=ARG&No=122487
15,Florencia Natasha Busquets Reyes,27/06/1989,192,68,305,290,Players.asp?Tourn=WGP2011&Team=ARG&No=122490
16,Antonela Ayelen Curatola,23/10/1991,175,71,290,280,Players.asp?Tourn=WGP2011&Team=ARG&No=135505
17,Yael Castiglione,27/09/1985,184,75,295,281,Players.asp?Tourn=WGP2011&Team=ARG&No=112619
18,Clarisa Sagardia,29/06/1989,174,67,290,280,Players.asp?Tourn=WGP2011&Team=ARG&No=135504
19,Juciely Cristina Barreto,18/12/1980,184,71,289,285,Players.asp?Tourn=WGP2011&Team=BRA&No=132589
20,Danielle Lins,5/01/1985,181,68,290,276,Players.asp?Tourn=WGP2011&Team=BRA&No=112625
21,Paula Pequeno,22/01/1982,184,74,302,285,Players.asp?Tourn=WGP2011&Team=BRA&No=112357
22,Adenizia Da Silva,18/12/1986,185,63,312,290,Players.asp?Tourn=WGP2011&Team=BRA&No=113955
23,Thaisa Daher de Menezes,15/05/1987,196,79,316,301,Players.asp?Tourn=WGP2011&Team=BRA&No=113963
24,Marianne Steinbrecher,23/08/1983,188,70,310,290,Players.asp?Tourn=WGP2011&Team=BRA&No=114276
25,Jaqueline Pereira De Carvalho Endres,31/12/1983,186,70,302,286,Players.asp?Tourn=WGP2011&Team=BRA&No=112365
26,Juliana de Souza Nogueira,4/08/1988,190,71,307,301,Players.asp?Tourn=WGP2011&Team=BRA&No=136459
27,Welissa Gonzaga,9/09/1982,179,76,300,287,Players.asp?Tourn=WGP2011&Team=BRA&No=112363
28,Joyce Silva,13/06/1984,190,67,311,294,Players.asp?Tourn=WGP2011&Team=BRA&No=112634
29,Natalia Pereira,4/04/1989,186,83,311,295,Players.asp?Tourn=WGP2011&Team=BRA&No=115952
30,Sheilla Castro De Paula Blassioli,1/07/1983,185,64,302,284,Players.asp?Tourn=WGP2011&Team=BRA&No=112366
31,Fabiana Oliveira,7/03/1980,169,59,276,266,Players.asp?Tourn=WGP2011&Team=BRA&No=113162
32,Ana Tiemi Takagui,26/10/1987,187,74,295,284,Players.asp?Tourn=WGP2011&Team=BRA&No=113966
33,Fernanda Rodrigues,10/05/1986,179,74,308,288,Players.asp?Tourn=WGP2011&Team=BRA&No=112641
34,Josefa Fabiola Almeida De Sousa Alves,3/02/1983,184,70,300,285,Players.asp?Tourn=WGP2011&Team=BRA&No=119147
35,Camila Brait,28/10/1988,170,58,271,256,Players.asp?Tourn=WGP2011&Team=BRA&No=119241
36,Tandara Caixeta,30/10/1988,184,87,305,297,Players.asp?Tourn=WGP2011&Team=BRA&No=115958
37,Suelle Oliveira,29/04/1987,187,72,291,278,Players.asp?Tourn=WGP2011&Team=BRA&No=113964
38,Ting Zhu,29/11/1994,198,78,327,300,Players.asp?Tourn=WGP2011&Team=CHN&No=133588
39,Ning Wang,14/05/1994,189,60,312,303,Players.asp?Tourn=WGP2011&Team=CHN&No=133592
40,Na Wang,25/02/1990,178,63,305,295,Players.asp?Tourn=WGP2011&Team=CHN&No=124133
41,Jingsi Shen,3/05/1989,186,75,305,294,Players.asp?Tourn=WGP2011&Team=CHN&No=116422
42,Junjing Yang,15/05/1989,190,70,308,300,Players.asp?Tourn=WGP2011&Team=CHN&No=118690
43,Xian Zhang,16/03/1985,168,57,290,280,Players.asp?Tourn=WGP2011&Team=CHN&No=118621
44,Chunlei Zeng,3/11/1989,187,67,315,315,Players.asp?Tourn=WGP2011&Team=CHN&No=114974
45,Yimei Wang,11/01/1988,190,87,318,305,Players.asp?Tourn=WGP2011&Team=CHN&No=114285
46,Danna Shan,8/10/1991,168,60,290,285,Players.asp?Tourn=WGP2011&Team=CHN&No=124138
47,Yunli Xu,2/08/1987,195,85,325,306,Players.asp?Tourn=WGP2011&Team=CHN&No=118027
48,Ruoqi Hui,4/03/1991,192,78,315,305,Players.asp?Tourn=WGP2011&Team=CHN&No=118694
49,Liyi Chen,27/04/1989,184,75,302,290,Players.asp?Tourn=WGP2011&Team=CHN&No=119295
50,Lei Zhang,11/01/1985,181,71,316,310,Players.asp?Tourn=WGP2011&Team=CHN&No=132057
51,Xia Ding,13/01/1990,180,67,305,300,Players.asp?Tourn=WGP2011&Team=CHN&No=124130
52,Congcong Liu,8/12/1990,189,65,310,302,Players.asp?Tourn=WGP2011&Team=CHN&No=119304
53,Zhan Chen,11/10/1990,180,65,300,295,Players.asp?Tourn=WGP2011&Team=CHN&No=116419
54,Yunwen Ma,19/10/1986,190,76,315,307,Players.asp?Tourn=WGP2011&Team=CHN&No=114518
55,Dan Liu,29/08/1989,180,65,305,295,Players.asp?Tourn=WGP2011&Team=CHN&No=143365
56,Yanelis Santos Allegne,30/03/1986,183,71,315,312,Players.asp?Tourn=WGP2011&Team=CUB&No=112021
57,Alena Rojas Orta,9/08/1992,186,78,320,305,Players.asp?Tourn=WGP2011&Team=CUB&No=133607
58,Yoana Palacio Mendoza,6/10/1990,184,67,313,300,Players.asp?Tourn=WGP2011&Team=CUB&No=124084
59,Yunieska Robles Batista,21/03/1993,185,67,315,300,Players.asp?Tourn=WGP2011&Team=CUB&No=124161
60,Daymara Lescay Cajigal,5/09/1992,184,72,308,290,Players.asp?Tourn=WGP2011&Team=CUB&No=154412
61,Yumilka Ruiz Luaces,8/05/1978,180,63,326,305,Players.asp?Tourn=WGP2011&Team=CUB&No=118380
62,Emily Borrell Cruz,19/02/1992,167,55,270,260,Players.asp?Tourn=WGP2011&Team=CUB&No=124091
63,Yamila Hernandez Santas,8/11/1992,182,69,301,285,Players.asp?Tourn=WGP2011&Team=CUB&No=124162
64,Ana Lidia Cleger Abel,27/11/1989,183,69,300,285,Players.asp?Tourn=WGP2011&Team=CUB&No=118384
65,Liannes Castañeda Simon,18/10/1986,188,70,325,320,Players.asp?Tourn=WGP2011&Team=CUB&No=113990
66,Dayami Sanchez Savon,14/03/1994,188,64,314,302,Players.asp?Tourn=WGP2011&Team=CUB&No=133942
67,Rosanna Giel Ramos,10/06/1992,187,62,320,315,Players.asp?Tourn=WGP2011&Team=CUB&No=124087
68,Kenia Carcaces Opón,23/01/1986,190,78,322,300,Players.asp?Tourn=WGP2011&Team=CUB&No=118396
69,Yusidey Silie Frómeta,11/11/1984,184,77,316,300,Players.asp?Tourn=WGP2011&Team=CUB&No=118397
70,Heydi Rodríguez López,24/06/1993,184,74,310,305,Players.asp?Tourn=WGP2011&Team=CUB&No=136265
