id,name,date_of_birth,height,weight,spike,block,link,position
1,Dallal Merwa Achour,03/11/1994,176,60,275,262,Players.asp?Tourn=WGP2013&Team=ALG&No=135595,Middle-blocker
2,Salima Hammouche,17/01/1984,158,54,270,265,Players.asp?Tourn=WGP2013&Team=ALG&No=120596,Libero
3,Fatma Zahra Djouad,12/07/1988,180,62,295,285,Players.asp?Tourn=WGP2013&Team=ALG&No=120602,Wing-spiker
4,Sara Belhocine,18/09/1994,178,60,272,260,Players.asp?Tourn=WGP2013&Team=ALG&No=146590,Unknown
5,Silya Magnana,16/03/1991,181,68,274,261,Players.asp?Tourn=WGP2013&Team=ALG&No=133380,Setter
6,Manel Yagoubi,25/06/1992,178,70,295,290,Players.asp?Tourn=WGP2013&Team=ALG&No=133397,Wing-spiker
7,Zohra Bensalem,05/04/1990,178,68,310,299,Players.asp?Tourn=WGP2013&Team=ALG&No=124111,Universal
8,Amina Saoud,18/07/1993,173,62,295,280,Players.asp?Tourn=WGP2013&Team=ALG&No=138025,0
9,Fatima Zahra Oukazi,18/01/1984,175,67,295,283,Players.asp?Tourn=WGP2013&Team=ALG&No=113937,Setter
10,Mouni Abderrahim,19/11/1985,171,60,305,293,Players.asp?Tourn=WGP2013&Team=ALG&No=112540,Universal
11,Safia Boukhima,10/01/1991,176,64,294,284,Players.asp?Tourn=WGP2013&Team=ALG&No=120603,Wing-spiker
12,Nawal Mansouri,01/08/1985,174,64,291,281,Players.asp?Tourn=WGP2013&Team=ALG&No=113942,Libero
13,Kahina Messaoudene,15/07/1992,183,56,299,290,Players.asp?Tourn=WGP2013&Team=ALG&No=133396,Middle-blocker
14,Aicha Mezemate,06/06/1991,187,75,300,285,Players.asp?Tourn=WGP2013&Team=ALG&No=124211,Middle-blocker
15,Sihem Saoud,18/07/1993,175,62,295,280,Players.asp?Tourn=WGP2013&Team=ALG&No=138026,Middle-blocker
16,Lydia Oulmou,02/02/1986,181,59,291,284,Players.asp?Tourn=WGP2013&Team=ALG&No=112531,Middle-blocker
17,Tassadit Aissou,19/06/1989,184,80,295,285,Players.asp?Tourn=WGP2013&Team=ALG&No=120601,Middle-blocker
18,Celia Bourihane,22/01/1995,178,56,277,255,Players.asp?Tourn=WGP2013&Team=ALG&No=133834,Universal
19,Kahina Arbouche,04/09/1993,175,60,295,280,Players.asp?Tourn=WGP2013&Team=ALG&No=143361,0
20,Yasmine Ousalah,04/07/1993,174,60,270,268,Players.asp?Tourn=WGP2013&Team=ALG&No=143375,Setter
21,Nawel Hammouche,25/04/1997,185,66,279,265,Players.asp?Tourn=WGP2013&Team=ALG&No=135763,0
22,Josefina Fernandez,17/08/1991,180,69,300,296,Players.asp?Tourn=WGP2013&Team=ARG&No=122488,0
23,Paula Yamila Nizetich,27/01/1989,181,74,305,295,Players.asp?Tourn=WGP2013&Team=ARG&No=122486,0
24,Sol Piccolo,11/09/1996,184,74,294,282,Players.asp?Tourn=WGP2013&Team=ARG&No=135935,0
25,Lucia Fresco,14/05/1991,195,92,304,290,Players.asp?Tourn=WGP2013&Team=ARG&No=124661,0
26,Daniela Gildenberger,12/06/1984,180,77,300,290,Players.asp?Tourn=WGP2013&Team=ARG&No=135503,0
27,Natalia Aispurua,20/12/1991,192,78,310,293,Players.asp?Tourn=WGP2013&Team=ARG&No=138013,0
28,Tanya Acosta,11/03/1991,182,70,287,280,Players.asp?Tourn=WGP2013&Team=ARG&No=140381,0
29,Viviana Dominko,03/10/1982,172,68,289,270,Players.asp?Tourn=WGP2013&Team=ARG&No=112338,0
30,Emilce Sosa,11/09/1987,177,72,305,295,Players.asp?Tourn=WGP2013&Team=ARG&No=124660,0
31,Georgina Pinedo,30/05/1981,180,64,312,290,Players.asp?Tourn=WGP2013&Team=ARG&No=113395,0
32,Tatiana Soledad Rizzo,30/12/1986,178,64,280,268,Players.asp?Tourn=WGP2013&Team=ARG&No=122484,0
33,Leticia Boscacci,08/11/1985,186,70,302,284,Players.asp?Tourn=WGP2013&Team=ARG&No=117250,0
34,Florencia Carlotto,14/10/1988,183,72,302,291,Players.asp?Tourn=WGP2013&Team=ARG&No=123034,0
35,Sherry Moreno,21/10/1989,185,77,303,295,Players.asp?Tourn=WGP2013&Team=ARG&No=142510,0
36,Florencia Natasha Busquets Reyes,27/06/1989,192,68,305,290,Players.asp?Tourn=WGP2013&Team=ARG&No=122490,0
