competition_name,competition_year,team,name,date_of_birth,curr_age,height,weight,spike,block,player_page,player_image,nationality,position,short_position
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Nadira Ait Oumghar,1994-01-09,27,185,77,281,263,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=135594&Team=ALG&Tourn=WU202013,,ALG,Opposite spiker,OPP
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Yasmine Abderrahim,1999-01-16,22,182,62,290,283,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136728&Team=ALG&Tourn=WU202013,,ALG,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Sara Belhocine,1994-01-18,27,178,60,272,260,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=146590&Team=ALG&Tourn=WU202013,,ALG,-,
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Louiza Bayou,1994-01-25,27,172,60,285,279,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=135596&Team=ALG&Tourn=WU202013,,ALG,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Titem Hani,1996-01-13,25,161,52,258,245,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142090&Team=ALG&Tourn=WU202013,,ALG,Libero,L
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Sarah Akroun,1994-01-05,27,176,60,266,253,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=133832&Team=ALG&Tourn=WU202013,,ALG,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Chanez Ayadi,1994-01-08,27,173,59,271,254,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=133833&Team=ALG&Tourn=WU202013,,ALG,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Wissem Samia Dali,1995-01-01,26,174,58,266,260,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=135666&Team=ALG&Tourn=WU202013,,ALG,Libero,L
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Nawel Hammouche,1997-01-25,24,185,66,279,265,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=135763&Team=ALG&Tourn=WU202013,,ALG,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Dallal Merwa Achour,1994-01-03,27,176,60,275,262,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=135595&Team=ALG&Tourn=WU202013,,ALG,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Zaidi Amel,1995-01-03,26,175,58,278,260,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142357&Team=ALG&Tourn=WU202013,,ALG,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246286,Celia Bourihane,1995-01-22,26,178,56,277,255,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=133834&Team=ALG&Tourn=WU202013,,ALG,-,
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Naiane De Almeida Rios,1994-01-29,27,179,63,276,281,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136890&Team=BRA&Tourn=WU202013,,BRA,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Maira Cipriano Claro,1995-01-07,26,187,62,300,278,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=140414&Team=BRA&Tourn=WU202013,,BRA,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Saraelen Leandro Ferreira Lima,1994-01-16,27,184,76,302,282,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=140415&Team=BRA&Tourn=WU202013,,BRA,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Gabriela Braga Guimaraes,1994-01-19,27,180,65,305,289,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136896&Team=BRA&Tourn=WU202013,,BRA,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Rosamaria Montibeller,1994-01-09,27,185,76,291,285,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136897&Team=BRA&Tourn=WU202013,,BRA,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Giovana Gasparini,1994-01-05,27,172,74,281,264,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=140417&Team=BRA&Tourn=WU202013,,BRA,Setter,S
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Valquiria Carboni Dullius,1994-01-19,27,188,72,288,281,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136899&Team=BRA&Tourn=WU202013,,BRA,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Paula Camila Mohr,1994-01-23,27,187,69,294,280,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136900&Team=BRA&Tourn=WU202013,,BRA,Wing spiker,OH
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Milka Marcã­Lia Medeiros Silva,1994-01-18,27,190,75,307,291,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=140418&Team=BRA&Tourn=WU202013,,BRA,Middle blocker,MB
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Domingas Soares Araãºjo,1994-01-09,27,182,82,311,290,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=140419&Team=BRA&Tourn=WU202013,,BRA,Opposite spiker,OPP
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Sara Aparecida Dias Da Silva,1994-01-29,27,185,75,29,301,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=136909&Team=BRA&Tourn=WU202013,,BRA,Opposite spiker,OPP
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201236553,Daniela Guimarã£Es,1994-01-29,27,168,63,274,265,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=140420&Team=BRA&Tourn=WU202013,,BRA,Libero,L
World Championships,2013,http://www.fivb.org/visasp/Img_GetImage.aspx?MaxSize=2000&No=201246432,Gergana Dimitrova,1996-01-28,25,184,71,305,288,http://www.fivb.org/EN/volleyball/competitions/U20/2013/Players.asp?No=142341&Team=BUL&Tourn=WU202013,,BUL,Wing spiker,OH
