id,name,date_of_birth,height,weight,spike,block
1,Fabiana Claudino,24/01/1985,193,76,314,293
2, Ana Tiemi Takagui,26/10/1987,187,74,295,284
3,Danielle Lins,5/01/1985,181,68,290,276
4, Paula Pequeno,22/01/1982,184,74,302,285
5,Caroline De Oliveira Saad Gattaz,27/07/1981,192,78,315,299
6, Thaisa Daher de Menezes,15/05/1987,196,79,316,301
7,Marianne Steinbrecher,23/08/1983,188,70,310,290
8, Adenizia Da Silva,18/12/1986,185,63,312,290
9,Natalia Pereira,4/04/1989,186,83,311,295
10, Welissa Gonzaga,9/09/1982,179,76,300,287
11,Joyce Silva,13/06/1984,190,67,311,294
12, Jaqueline Pereira De Carvalho Endres,31/12/1983,186,70,302,286
13,Sheilla Castro De Paula Blassioli,1/07/1983,185,64,302,284
14, Fabiana Oliveira,7/03/1980,169,59,276,266
15,Regiane Bidias,2/10/1986,189,74,304,286
16, Fernanda Ferreira,10/01/1980,173,64,283,264
17,Josefa Fabiola Almeida De Sousa Alves,3/02/1983,184,70,300,285
18, Camila Brait,28/10/1988,170,58,271,256
19,Fernanda Rodrigues,10/05/1986,179,74,308,288
20,Juan Li,15/05/1981,187,72,315,305
21,Ming Xue,23/02/1987,193,72,324,315
22,Yu Luo,27/02/1987,190,75,310,300
23,Yunli Xu,2/08/1987,196,75,317,315
24,Yunwen Ma,19/10/1986,189,76,315,312
25,Jinling Chu,29/07/1984,190,72,310,302
26,Xian Zhang,16/03/1985,168,57,290,280
27,Ruoqi Hui,4/03/1991,189,70,312,305
28,Yanni Zhao,23/10/1988,187,70,310,305
29,Yimei Wang,11/01/1988,190,87,318,305
30,Qiuyue Wei,26/09/1988,182,75,305,300
31,Na Yin,3/02/1988,182,65,305,300
32,Xuan Huo,27/01/1988,190,68,312,305
33,Chen Wang,29/10/1990,182,70,312,302
34,Meng Yin,11/01/1984,190,76,320,318
35,Qian Wang,14/03/1989,174,65,305,295
36,Chunlei Zeng,3/11/1989,187,67,315,315
37,Jingsi Shen,3/05/1989,185,78,305,300
38,Annerys Victoria Vargas Valdez,7/08/1981,196,70,327,320
39,Rossy Dahiana Burgos Herrera,7/04/1985,184,70,305,300
40,Lisvel Elisa Eve Mejia,10/09/1991,194,90,325,315
41,Marianne Fersola Norberto,16/01/1992,191,60,315,310
42,Brenda Castillo,5/06/1992,167,55,245,230
