,name,date_of_birth,height,weight,spike,block,link
0,name,date_of_birth,height,weight,spike,block,link
1,"Team manager  MILAN, Sergio"," BASTIT, Horacio",Assistant coach,"GUILLAUME, Eduardo",Doctor,"SENES, Hugo",http://www.fivb.org/visasp/Img_GetImage.aspx?No=201201743
2,None None,,,,,,http://www.fivb.org/visasp/Img_GetImage.aspx?No=201201743
3,"Assistant coach GUILLAUME, Eduardo","SENES, Hugo",Therapist / trainer,"BETTI, Matias",Journalist," FALABELLA, Hernan",#Coach_profile
4,None None,,,,,,
5,None None,,,,,,#Coach_profile
6,None None,,,,,,
7,None None,,,,,,
8,None None,,,,,,
9,None None,,,,,,
10,None None,,,,,,
11,Name, Shirt Name, Birthdate, Height, Weight, Spike,Players.asp?Tourn=WGP2012&Team=ARG&No=124662
12,Name  Lastname, Birthdate, Height, Weight, Spike, Block,
13,Lucia Gaido,19.01.1988,164,53,245,244,Players.asp?Tourn=WGP2012&Team=ARG&No=124662
14,Josefina Fernandez,17.08.1991,180,69,300,296,Players.asp?Tourn=WGP2012&Team=ARG&No=122488
15,Paula Yamila Nizetich,27.01.1989,181,74,305,295,Players.asp?Tourn=WGP2012&Team=ARG&No=122486
16,Clarisa Sagardia,29.06.1989,174,67,290,280,Players.asp?Tourn=WGP2012&Team=ARG&No=135504
17,Lucia Fresco,14.05.1991,195,92,304,290,Players.asp?Tourn=WGP2012&Team=ARG&No=124661
18,Luisina Yaccuzzi,12.06.1989,175,70,300,290,Players.asp?Tourn=WGP2012&Team=ARG&No=138786
19,Julieta Puntin,06.12.1989,183,71,302,287,Players.asp?Tourn=WGP2012&Team=ARG&No=138787
20,Tatiana Soledad Rizzo,30.12.1986,178,64,280,268,Players.asp?Tourn=WGP2012&Team=ARG&No=122484
21,Camila Jersonsky,30.05.1991,181,68,305,289,Players.asp?Tourn=WGP2012&Team=ARG&No=123035
22,Emilce Sosa,11.09.1987,177,72,305,295,Players.asp?Tourn=WGP2012&Team=ARG&No=124660
23,Georgina Pinedo,30.05.1981,180,64,312,290,Players.asp?Tourn=WGP2012&Team=ARG&No=113395
24,Graciela Allende,07.10.1994,167,75,270,260,Players.asp?Tourn=WGP2012&Team=ARG&No=135930
25,Leticia Boscacci,08.11.1985,186,70,302,284,Players.asp?Tourn=WGP2012&Team=ARG&No=117250
26,Florencia Carlotto,14.10.1988,183,72,302,291,Players.asp?Tourn=WGP2012&Team=ARG&No=123034
27,Maria Sol Calvete,14.09.1994,179,65,295,283,Players.asp?Tourn=WGP2012&Team=ARG&No=135924
28,Florencia Natasha Busquets Reyes,27.06.1989,192,68,305,290,Players.asp?Tourn=WGP2012&Team=ARG&No=122490
29,Antonela Ayelen Curatola,23.10.1991,175,71,290,280,Players.asp?Tourn=WGP2012&Team=ARG&No=135505
30,Yael Castiglione,27.09.1985,184,75,295,281,Players.asp?Tourn=WGP2012&Team=ARG&No=112619
31,Mariangeles Cossar,07.04.1990,177,70,290,280,Players.asp?Tourn=WGP2012&Team=ARG&No=138016
32,Marianela Garbari,13.11.1980,165,65,280,270,Players.asp?Tourn=WGP2012&Team=ARG&No=135779
33,None None,,,,,,
34,None None,,,,,,
35,Team manager  Xu Li, Yu Juemin,Assistant coach,Laiyawen,Doctor,1. Wei Yongji      2. Wang Kai,http://www.fivb.org/visasp/Img_GetImage.aspx?No=201212593
36,None None,,,,,,http://www.fivb.org/visasp/Img_GetImage.aspx?No=201212593
37,Assistant coach Laiyawen,1. Wei Yongji      2. Wang Kai,Therapist / trainer,,Journalist," Hu Jin, Coach (Also Assistant Manager)",#Coach_profile
38,None None,,,,,,
39,None None,,,,,,#Coach_profile
40,None None,,,,,,
41,None None,,,,,,
42,None None,,,,,,
43,None None,,,,,,
44,None None,,,,,,
45,Name, Shirt Name, Birthdate, Height, Weight, Spike,Players.asp?Tourn=WGP2012&Team=CHN&No=114285
46,Name  Lastname, Birthdate, Height, Weight, Spike, Block,
47,Yimei Wang,11.01.1988,190,87,318,305,Players.asp?Tourn=WGP2012&Team=CHN&No=114285
48,Yang Mi,24.01.1989,180,70,305,298,Players.asp?Tourn=WGP2012&Team=CHN&No=119296
49,Jie Yang,01.03.1994,194,82,312,300,Players.asp?Tourn=WGP2012&Team=CHN&No=119302
50,Ruoqi Hui,04.03.1991,189,70,312,305,Players.asp?Tourn=WGP2012&Team=CHN&No=123853
51,Na Wang,25.02.1990,178,63,305,295,Players.asp?Tourn=WGP2012&Team=CHN&No=124133
52,Jinling Chu,29.07.1984,190,72,310,302,Players.asp?Tourn=WGP2012&Team=CHN&No=123852
53,Xian Zhang,16.03.1985,168,57,290,280,Players.asp?Tourn=WGP2012&Team=CHN&No=118621
54,Qiuyue Wei,26.09.1988,182,75,305,300,Players.asp?Tourn=WGP2012&Team=CHN&No=114976
55,Junjing Yang,15.05.1989,190,70,308,300,Players.asp?Tourn=WGP2012&Team=CHN&No=118690
56,Danna Shan,08.10.1991,168,60,290,285,Players.asp?Tourn=WGP2012&Team=CHN&No=124138
57,Yunli Xu,02.08.1987,196,75,317,315,Players.asp?Tourn=WGP2012&Team=CHN&No=123864
58,Chunlei Zeng,03.11.1989,187,67,315,315,Players.asp?Tourn=WGP2012&Team=CHN&No=114974
59,Ni Yan,02.03.1987,192,74,317,306,Players.asp?Tourn=WGP2012&Team=CHN&No=138748
60,Congcong Liu,08.12.1990,188,70,310,305,Players.asp?Tourn=WGP2012&Team=CHN&No=138749
61,Yunwen Ma,19.10.1986,190,76,315,307,Players.asp?Tourn=WGP2012&Team=CHN&No=114518
62,Na Yin,03.02.1988,182,65,305,300,Players.asp?Tourn=WGP2012&Team=CHN&No=123854
63,Lei Zhang,11.01.1985,181,71,316,310,Players.asp?Tourn=WGP2012&Team=CHN&No=132057
64,Linlin Fan,01.12.1991,190,77,316,301,Players.asp?Tourn=WGP2012&Team=CHN&No=116423
65,Qian Wang,14.03.1989,174,65,305,295,Players.asp?Tourn=WGP2012&Team=CHN&No=123857
66,Liyi Chen,27.04.1989,184,75,302,290,Players.asp?Tourn=WGP2012&Team=CHN&No=119295
67,Ming Xue,23.02.1987,193,72,324,315,Players.asp?Tourn=WGP2012&Team=CHN&No=114516
68,Zhou Yang,21.04.1992,190,78,308,303,Players.asp?Tourn=WGP2012&Team=CHN&No=133590
69,Yanan Qiu,16.01.1989,183,62,295,280,Players.asp?Tourn=WGP2012&Team=CHN&No=135415
70,Jingsi Shen,03.05.1989,185,78,305,300,Players.asp?Tourn=WGP2012&Team=CHN&No=123862
71,None None,,,,,,
72,None None,,,,,,
